order_id,tanggal_order,marketplace,produk_id,produk_nama,kategori,qty,harga_satuan,total_order,diskon,ongkir,status,refund_status,refund_amount
TOP731220589102,2025-02-01,Tokopedia,P002,Maru Loafer Elegan,Formal,1,279000,235549,43451,12947,Dikirim,Tidak Ada,0
ORD5151889828426961,2025-02-01,Shopee,P005,Maru Boots Petualangan,Outdoor,3,499000,1479036,17964,20470,Dikirim,Tidak Ada,0
ORD5224435667272120,2025-02-01,Shopee,P002,Maru Loafer Elegan,Formal,2,279000,487173,70827,24042,Dikirim,Tidak Ada,0
BLI6369047869,2025-02-01,Blibli,P003,Maru Heels Profesional,Formal,4,389000,1532726,23274,11071,Dikirim,Tidak Ada,0
ORD6541269122203574,2025-02-01,Shopee,P008,Maru Glam Heels,Formal,4,479000,1909740,6260,12493,Dikirim,Tidak Ada,0
LAZ3445468961,2025-02-01,Lazada,P001,Maru Slip-On Kasual,Kasual,5,249000,1198415,46585,10561,Dikirim,Tidak Ada,0
TOP887706067751,2025-02-01,Tokopedia,P003,Maru Heels Profesional,Formal,2,389000,728909,49091,11151,Dikirim,Tidak Ada,0
TOP399689882562,2025-02-01,Tokopedia,P003,Maru Heels Profesional,Formal,3,389000,1119685,47315,14252,Dikirim,Tidak Ada,0
ORD6525882843460567,2025-02-01,Shopee,P006,Maru Sneakers Hike,Outdoor,2,359000,658318,59682,19878,Dikirim,Tidak Ada,0
ORD7563818331970421,2025-02-01,Shopee,P001,Maru Slip-On Kasual,Kasual,1,249000,245753,3247,29468,Dikirim,Tidak Ada,0
LAZ5752305829,2025-02-01,Lazada,P007,Maru Sandal Malam,Formal,5,319000,1593033,1967,13550,Dikirim,Tidak Ada,0
ORD6467709142382472,2025-02-01,Shopee,P004,Maru Flat Formal,Formal,1,199000,190739,8261,27105,Dikirim,Tidak Ada,0
ORD0900410833543925,2025-02-01,Shopee,P006,Maru Sneakers Hike,Outdoor,5,359000,1792633,2367,11631,Dikirim,Tidak Ada,0
ORD5414330419070086,2025-02-01,Shopee,P003,Maru Heels Profesional,Formal,5,389000,1940542,4458,27722,Dikirim,Tidak Ada,0
ORD3542058781283301,2025-02-01,Shopee,P001,Maru Slip-On Kasual,Kasual,3,249000,666542,80458,22370,Dikirim,Tidak Ada,0
LAZ0773625933,2025-02-01,Lazada,P004,Maru Flat Formal,Formal,3,199000,524498,72502,15303,Dikirim,Tidak Ada,0
LAZ1264359508,2025-02-01,Lazada,P008,Maru Glam Heels,Formal,3,479000,1411421,25579,14146,Dikirim,Tidak Ada,0
BLI5732379557,2025-02-01,Blibli,P007,Maru Sandal Malam,Formal,2,319000,561387,76613,15871,Dikirim,Tidak Ada,0
ORD6358423565354496,2025-02-01,Shopee,P009,Maru Sneakers Olahraga,Olahraga,4,399000,1512899,83101,22350,Dikirim,Tidak Ada,0
LAZ6530526603,2025-02-01,Lazada,P007,Maru Sandal Malam,Formal,5,319000,1590663,4337,27379,Dikirim,Tidak Ada,0
LAZ7058702904,2025-02-01,Lazada,P005,Maru Boots Petualangan,Outdoor,3,499000,1464507,32493,20071,Dikirim,Tidak Ada,0
ORD5052181920201655,2025-02-01,Shopee,P010,Maru Sport Flats,Olahraga,3,269000,776580,30420,10445,Dikirim,Tidak Ada,0
ORD2028506981807329,2025-02-01,Shopee,P004,Maru Flat Formal,Formal,4,199000,758731,37269,18056,Dikirim,Tidak Ada,0
ORD5247546851461674,2025-02-01,Shopee,P002,Maru Loafer Elegan,Formal,4,279000,1044107,71893,12543,Dikirim,Tidak Ada,0
LAZ3243252082,2025-02-01,Lazada,P007,Maru Sandal Malam,Formal,3,319000,913493,43507,28105,Dikirim,Tidak Ada,0
TOP140174096148,2025-02-01,Tokopedia,P009,Maru Sneakers Olahraga,Olahraga,3,399000,1127310,69690,11469,Dikirim,Tidak Ada,0
ORD2473358277356421,2025-02-01,Shopee,P006,Maru Sneakers Hike,Outdoor,5,359000,1770931,24069,18581,Dikirim,Tidak Ada,0
LAZ9670192771,2025-02-01,Lazada,P003,Maru Heels Profesional,Formal,1,389000,304623,84377,26619,Dikirim,Tidak Ada,0
ORD8368955484464622,2025-02-01,Shopee,P005,Maru Boots Petualangan,Outdoor,2,499000,997230,770,14290,Dikirim,Tidak Ada,0
ORD0140056536837384,2025-02-01,Shopee,P004,Maru Flat Formal,Formal,3,199000,507875,89125,13619,Dikirim,Tidak Ada,0
ORD6763315441361513,2025-02-01,Shopee,P009,Maru Sneakers Olahraga,Olahraga,1,399000,299121,99879,29395,Dikirim,Tidak Ada,0
LAZ0168541752,2025-02-01,Lazada,P004,Maru Flat Formal,Formal,3,199000,533825,63175,29304,Dikirim,Tidak Ada,0
TOP462518081245,2025-02-01,Tokopedia,P010,Maru Sport Flats,Olahraga,4,269000,1028541,47459,24700,Dikirim,Tidak Ada,0
LAZ4935288113,2025-02-01,Lazada,P006,Maru Sneakers Hike,Outdoor,1,359000,318222,40778,29191,Dikirim,Tidak Ada,0
LAZ9273475030,2025-02-01,Lazada,P007,Maru Sandal Malam,Formal,2,319000,628266,9734,23153,Dikirim,Tidak Ada,0
LAZ1715026389,2025-02-01,Lazada,P001,Maru Slip-On Kasual,Kasual,3,249000,740700,6300,14869,Dikirim,Tidak Ada,0
TOP592973385280,2025-02-01,Tokopedia,P007,Maru Sandal Malam,Formal,5,319000,1553027,41973,21255,Dikirim,Tidak Ada,0
ORD3823275627779650,2025-02-01,Shopee,P006,Maru Sneakers Hike,Outdoor,5,359000,1781443,13557,13634,Dikirim,Tidak Ada,0
ORD7040388573538037,2025-02-01,Shopee,P003,Maru Heels Profesional,Formal,1,389000,334618,54382,12190,Dikirim,Tidak Ada,0
LAZ7656778470,2025-02-01,Lazada,P001,Maru Slip-On Kasual,Kasual,4,249000,938865,57135,24234,Dikirim,Tidak Ada,0
LAZ2396339633,2025-02-01,Lazada,P009,Maru Sneakers Olahraga,Olahraga,2,399000,757572,40428,29554,Dikirim,Tidak Ada,0
LAZ5822588480,2025-02-01,Lazada,P006,Maru Sneakers Hike,Outdoor,4,359000,1386504,49496,14562,Dikirim,Tidak Ada,0
ORD4537589579286712,2025-02-01,Shopee,P005,Maru Boots Petualangan,Outdoor,4,499000,1967371,28629,15789,Dikirim,Tidak Ada,0
ORD8496271954957101,2025-02-01,Shopee,P009,Maru Sneakers Olahraga,Olahraga,4,399000,1520139,75861,12167,Dikirim,Tidak Ada,0
ORD7320256359329655,2025-02-01,Shopee,P009,Maru Sneakers Olahraga,Olahraga,2,399000,782575,15425,24800,Dikirim,Tidak Ada,0
ORD8779166349672874,2025-02-01,Shopee,P001,Maru Slip-On Kasual,Kasual,2,249000,426783,71217,28366,Dikirim,Tidak Ada,0
BLI1094628180,2025-02-01,Blibli,P004,Maru Flat Formal,Formal,3,199000,533825,63175,22068,Dikirim,Tidak Ada,0
BLI1764865659,2025-02-01,Blibli,P007,Maru Sandal Malam,Formal,5,319000,1560796,34204,22843,Dikirim,Tidak Ada,0
BLI6301329054,2025-02-01,Blibli,P004,Maru Flat Formal,Formal,5,199000,909888,85112,12228,Dikirim,Tidak Ada,0
ORD7529833635811176,2025-02-01,Shopee,P007,Maru Sandal Malam,Formal,2,319000,563596,74404,19073,Dikirim,Tidak Ada,0
ORD3645634470137808,2025-02-01,Shopee,P002,Maru Loafer Elegan,Formal,2,279000,536314,21686,19537,Dikirim,Tidak Ada,0
ORD8888545633462100,2025-02-01,Shopee,P006,Maru Sneakers Hike,Outdoor,2,359000,668278,49722,10046,Dikirim,Tidak Ada,0
ORD6905971498132653,2025-02-01,Shopee,P009,Maru Sneakers Olahraga,Olahraga,5,399000,1950596,44404,28842,Dikirim,Tidak Ada,0
TOP497696601750,2025-02-01,Tokopedia,P009,Maru Sneakers Olahraga,Olahraga,3,399000,1166869,30131,28671,Dikirim,Tidak Ada,0
TOP636105497279,2025-02-01,Tokopedia,P007,Maru Sandal Malam,Formal,5,319000,1540062,54938,16929,Dikirim,Tidak Ada,0
TOP171499557893,2025-02-01,Tokopedia,P010,Maru Sport Flats,Olahraga,3,269000,721229,85771,26641,Dikirim,Tidak Ada,0
TOP916397828748,2025-02-01,Tokopedia,P001,Maru Slip-On Kasual,Kasual,1,249000,155524,93476,18689,Dikirim,Tidak Ada,0
ORD0738787740846009,2025-02-01,Shopee,P001,Maru Slip-On Kasual,Kasual,1,249000,248803,197,28416,Dikirim,Tidak Ada,0
ORD2803942149942629,2025-02-01,Shopee,P010,Maru Sport Flats,Olahraga,3,269000,776866,30134,23249,Dikirim,Tidak Ada,0
TOP664432523102,2025-02-01,Tokopedia,P010,Maru Sport Flats,Olahraga,1,269000,169768,99232,20902,Dikirim,Tidak Ada,0
TOP894362948336,2025-02-01,Tokopedia,P002,Maru Loafer Elegan,Formal,5,279000,1348698,46302,28410,Dikirim,Tidak Ada,0
TOP523453958226,2025-02-01,Tokopedia,P002,Maru Loafer Elegan,Formal,1,279000,222748,56252,27526,Dikirim,Tidak Ada,0
LAZ1449498055,2025-02-01,Lazada,P009,Maru Sneakers Olahraga,Olahraga,4,399000,1533970,62030,28140,Dikirim,Tidak Ada,0
ORD6057059765651675,2025-02-01,Shopee,P009,Maru Sneakers Olahraga,Olahraga,5,399000,1957940,37060,15896,Dikirim,Tidak Ada,0
ORD2471192537074947,2025-02-01,Shopee,P009,Maru Sneakers Olahraga,Olahraga,4,399000,1527731,68269,18986,Dikirim,Tidak Ada,0
TOP313226481271,2025-02-01,Tokopedia,P008,Maru Glam Heels,Formal,3,479000,1421190,15810,14103,Dikirim,Tidak Ada,0
TOP854767600846,2025-02-01,Tokopedia,P002,Maru Loafer Elegan,Formal,4,279000,1102964,13036,19251,Dikirim,Tidak Ada,0
TOP612054075165,2025-02-01,Tokopedia,P010,Maru Sport Flats,Olahraga,4,269000,979555,96445,16707,Dikirim,Tidak Ada,0
ORD3253937632383717,2025-02-01,Shopee,P001,Maru Slip-On Kasual,Kasual,5,249000,1148212,96788,17531,Dikirim,Tidak Ada,0
ORD7388555630715405,2025-02-01,Shopee,P005,Maru Boots Petualangan,Outdoor,2,499000,951941,46059,22777,Dikirim,Tidak Ada,0
BLI5008776571,2025-02-01,Blibli,P009,Maru Sneakers Olahraga,Olahraga,3,399000,1107276,89724,16191,Dikirim,Tidak Ada,0
TOP209623087263,2025-02-01,Tokopedia,P007,Maru Sandal Malam,Formal,2,319000,617482,20518,24663,Dikirim,Tidak Ada,0
ORD6766493455797742,2025-02-01,Shopee,P003,Maru Heels Profesional,Formal,3,389000,1093119,73881,25621,Dikirim,Tidak Ada,0
LAZ6550626892,2025-02-01,Lazada,P004,Maru Flat Formal,Formal,4,199000,714245,81755,14121,Dikirim,Tidak Ada,0
ORD9505872971182891,2025-02-01,Shopee,P006,Maru Sneakers Hike,Outdoor,2,359000,706445,11555,21941,Dikirim,Tidak Ada,0
ORD6036568457239042,2025-02-01,Shopee,P009,Maru Sneakers Olahraga,Olahraga,2,399000,780446,17554,13069,Dikirim,Tidak Ada,0
ORD1208575852142016,2025-02-01,Shopee,P003,Maru Heels Profesional,Formal,5,389000,1925048,19952,17842,Dikirim,Tidak Ada,0
ORD7719831849887525,2025-02-01,Shopee,P010,Maru Sport Flats,Olahraga,2,269000,470748,67252,28977,Dikirim,Tidak Ada,0
LAZ3811346353,2025-02-01,Lazada,P001,Maru Slip-On Kasual,Kasual,4,249000,900542,95458,21382,Dikirim,Tidak Ada,0
LAZ2889800261,2025-02-01,Lazada,P005,Maru Boots Petualangan,Outdoor,5,499000,2474633,20367,28360,Dikirim,Tidak Ada,0
LAZ3589652522,2025-02-01,Lazada,P004,Maru Flat Formal,Formal,3,199000,571166,25834,18255,Dikirim,Tidak Ada,0
TOP081387934433,2025-02-01,Tokopedia,P008,Maru Glam Heels,Formal,1,479000,399370,79630,14712,Dikirim,Tidak Ada,0
ORD4434750462853158,2025-02-01,Shopee,P008,Maru Glam Heels,Formal,3,479000,1421585,15415,28374,Dikirim,Tidak Ada,0
ORD6975520197376538,2025-02-01,Shopee,P007,Maru Sandal Malam,Formal,1,319000,264335,54665,15378,Dikirim,Tidak Ada,0
ORD6478898589041126,2025-02-01,Shopee,P010,Maru Sport Flats,Olahraga,3,269000,756633,50367,20668,Dikirim,Tidak Ada,0
ORD4778741345052890,2025-02-01,Shopee,P006,Maru Sneakers Hike,Outdoor,5,359000,1750243,44757,27348,Dikirim,Tidak Ada,0
LAZ9960464825,2025-02-01,Lazada,P008,Maru Glam Heels,Formal,3,479000,1430383,6617,28517,Dikirim,Tidak Ada,0
ORD2992852933775418,2025-02-01,Shopee,P008,Maru Glam Heels,Formal,2,479000,935553,22447,24370,Dikirim,Tidak Ada,0
ORD9981556495700865,2025-02-02,Shopee,P002,Maru Loafer Elegan,Formal,4,279000,1100413,15587,18290,Dikirim,Tidak Ada,0
TOP474545610768,2025-02-02,Tokopedia,P003,Maru Heels Profesional,Formal,1,389000,323709,65291,10876,Dikirim,Tidak Ada,0
TOP308086880363,2025-02-02,Tokopedia,P005,Maru Boots Petualangan,Outdoor,5,499000,2489087,5913,14200,Dikirim,Tidak Ada,0
TOP064010290673,2025-02-02,Tokopedia,P010,Maru Sport Flats,Olahraga,2,269000,504842,33158,28111,Dikirim,Tidak Ada,0
ORD8890699137185537,2025-02-02,Shopee,P007,Maru Sandal Malam,Formal,3,319000,922686,34314,17716,Dikirim,Tidak Ada,0
ORD9875796738897184,2025-02-02,Shopee,P004,Maru Flat Formal,Formal,2,199000,394486,3514,16856,Dikirim,Tidak Ada,0
LAZ6703607131,2025-02-02,Lazada,P009,Maru Sneakers Olahraga,Olahraga,3,399000,1140558,56442,13734,Dikirim,Tidak Ada,0
ORD8437497613409814,2025-02-02,Shopee,P005,Maru Boots Petualangan,Outdoor,5,499000,2464227,30773,25659,Dikirim,Tidak Ada,0
ORD6028043484657987,2025-02-02,Shopee,P003,Maru Heels Profesional,Formal,5,389000,1908370,36630,18144,Dikirim,Tidak Ada,0
ORD3636646462307758,2025-02-02,Shopee,P004,Maru Flat Formal,Formal,3,199000,523813,73187,25529,Dikirim,Tidak Ada,0
TOP173592832595,2025-02-02,Tokopedia,P009,Maru Sneakers Olahraga,Olahraga,3,399000,1147741,49259,15184,Dikirim,Tidak Ada,0
LAZ2540439808,2025-02-02,Lazada,P002,Maru Loafer Elegan,Formal,3,279000,818839,18161,17201,Dikirim,Tidak Ada,0
ORD5263979625316804,2025-02-02,Shopee,P009,Maru Sneakers Olahraga,Olahraga,2,399000,744219,53781,17217,Dikirim,Tidak Ada,0
ORD0589267960088041,2025-02-02,Shopee,P010,Maru Sport Flats,Olahraga,4,269000,1025582,50418,24549,Dikirim,Tidak Ada,0
ORD8741854756343543,2025-02-02,Shopee,P005,Maru Boots Petualangan,Outdoor,3,499000,1426164,70836,11465,Dikirim,Tidak Ada,0
TOP286992442821,2025-02-02,Tokopedia,P001,Maru Slip-On Kasual,Kasual,4,249000,984171,11829,20921,Dikirim,Tidak Ada,0
ORD3340792113718808,2025-02-02,Shopee,P003,Maru Heels Profesional,Formal,2,389000,695221,82779,18103,Dikirim,Tidak Ada,0
ORD2168469939384084,2025-02-02,Shopee,P005,Maru Boots Petualangan,Outdoor,5,499000,2459973,35027,15856,Dikirim,Tidak Ada,0
ORD7936864046450460,2025-02-02,Shopee,P006,Maru Sneakers Hike,Outdoor,4,359000,1368809,67191,12580,Dikirim,Tidak Ada,0
LAZ9944737310,2025-02-02,Lazada,P003,Maru Heels Profesional,Formal,2,389000,729392,48608,28466,Dikirim,Tidak Ada,0
LAZ9139251818,2025-02-02,Lazada,P008,Maru Glam Heels,Formal,2,479000,930658,27342,18386,Dikirim,Tidak Ada,0
LAZ3087147812,2025-02-02,Lazada,P003,Maru Heels Profesional,Formal,2,389000,756782,21218,23001,Dikirim,Tidak Ada,0
LAZ5854252540,2025-02-02,Lazada,P007,Maru Sandal Malam,Formal,5,319000,1510763,84237,13230,Dikirim,Tidak Ada,0
LAZ4746507044,2025-02-02,Lazada,P008,Maru Glam Heels,Formal,5,479000,2379235,15765,20212,Dikirim,Tidak Ada,0
ORD4976077917718556,2025-02-02,Shopee,P008,Maru Glam Heels,Formal,3,479000,1363436,73564,25863,Dikirim,Tidak Ada,0
LAZ0618087564,2025-02-02,Lazada,P006,Maru Sneakers Hike,Outdoor,2,359000,673259,44741,18218,Dikirim,Tidak Ada,0
TOP169334527993,2025-02-02,Tokopedia,P003,Maru Heels Profesional,Formal,4,389000,1467951,88049,28572,Dikirim,Tidak Ada,0
TOP909314127871,2025-02-02,Tokopedia,P009,Maru Sneakers Olahraga,Olahraga,4,399000,1554245,41755,15468,Dikirim,Tidak Ada,0
TOP527796203463,2025-02-02,Tokopedia,P008,Maru Glam Heels,Formal,3,479000,1359912,77088,21844,Dikirim,Tidak Ada,0
ORD3169235138225722,2025-02-02,Shopee,P007,Maru Sandal Malam,Formal,2,319000,596487,41513,22499,Dikirim,Tidak Ada,0
BLI6633623907,2025-02-02,Blibli,P004,Maru Flat Formal,Formal,3,199000,581131,15869,16785,Dikirim,Tidak Ada,0
LAZ7897207961,2025-02-02,Lazada,P009,Maru Sneakers Olahraga,Olahraga,5,399000,1898957,96043,20033,Dikirim,Tidak Ada,0
BLI6170090509,2025-02-02,Blibli,P007,Maru Sandal Malam,Formal,4,319000,1215238,60762,15197,Dikirim,Tidak Ada,0
TOP047228978808,2025-02-02,Tokopedia,P009,Maru Sneakers Olahraga,Olahraga,3,399000,1106608,90392,28149,Dikirim,Tidak Ada,0
TOP842642614076,2025-02-02,Tokopedia,P006,Maru Sneakers Hike,Outdoor,1,359000,271853,87147,10793,Dikirim,Tidak Ada,0
ORD7830282624169236,2025-02-02,Shopee,P009,Maru Sneakers Olahraga,Olahraga,1,399000,320461,78539,11600,Dikirim,Tidak Ada,0
ORD0751966657586681,2025-02-02,Shopee,P003,Maru Heels Profesional,Formal,1,389000,312180,76820,13497,Dikirim,Tidak Ada,0
LAZ9774964859,2025-02-02,Lazada,P005,Maru Boots Petualangan,Outdoor,4,499000,1962545,33455,29100,Dikirim,Tidak Ada,0
TOP085516363937,2025-02-02,Tokopedia,P006,Maru Sneakers Hike,Outdoor,4,359000,1340975,95025,25536,Dikirim,Tidak Ada,0
ORD2050169292938873,2025-02-02,Shopee,P003,Maru Heels Profesional,Formal,4,389000,1538176,17824,21237,Dikirim,Tidak Ada,0
LAZ6817974062,2025-02-02,Lazada,P010,Maru Sport Flats,Olahraga,1,269000,239003,29997,24867,Dikirim,Tidak Ada,0
ORD0740777869472683,2025-02-02,Shopee,P003,Maru Heels Profesional,Formal,3,389000,1157177,9823,15117,Dikirim,Tidak Ada,0
ORD6012252574968582,2025-02-02,Shopee,P002,Maru Loafer Elegan,Formal,1,279000,211606,67394,14018,Dikirim,Tidak Ada,0
ORD9842480166697752,2025-02-02,Shopee,P010,Maru Sport Flats,Olahraga,3,269000,714686,92314,11992,Dikirim,Tidak Ada,0
ORD0800149373482247,2025-02-02,Shopee,P002,Maru Loafer Elegan,Formal,5,279000,1312244,82756,29558,Dikirim,Tidak Ada,0
TOP524188533701,2025-02-02,Tokopedia,P003,Maru Heels Profesional,Formal,4,389000,1462011,93989,22155,Dikirim,Tidak Ada,0
LAZ6680774361,2025-02-02,Lazada,P002,Maru Loafer Elegan,Formal,5,279000,1389779,5221,23820,Dikirim,Tidak Ada,0
ORD5262640262124013,2025-02-02,Shopee,P006,Maru Sneakers Hike,Outdoor,5,359000,1751479,43521,20038,Dikirim,Tidak Ada,0
LAZ6053415018,2025-02-02,Lazada,P004,Maru Flat Formal,Formal,5,199000,955532,39468,17428,Dikirim,Tidak Ada,0
ORD3757808645746291,2025-02-02,Shopee,P007,Maru Sandal Malam,Formal,4,319000,1231552,44448,28899,Dikirim,Tidak Ada,0
ORD0134771585012702,2025-02-02,Shopee,P003,Maru Heels Profesional,Formal,1,389000,349447,39553,19114,Dikirim,Tidak Ada,0
ORD8614452191778700,2025-02-02,Shopee,P010,Maru Sport Flats,Olahraga,4,269000,1069515,6485,25883,Dikirim,Tidak Ada,0
ORD1327116576909964,2025-02-02,Shopee,P007,Maru Sandal Malam,Formal,2,319000,545433,92567,10069,Dikirim,Tidak Ada,0
LAZ9682268233,2025-02-02,Lazada,P010,Maru Sport Flats,Olahraga,4,269000,1040858,35142,25570,Dikirim,Tidak Ada,0
ORD1682894350556518,2025-02-02,Shopee,P007,Maru Sandal Malam,Formal,5,319000,1551997,43003,27531,Dikirim,Tidak Ada,0
ORD2553864853836301,2025-02-02,Shopee,P006,Maru Sneakers Hike,Outdoor,4,359000,1404098,31902,14474,Dikirim,Tidak Ada,0
TOP245495438560,2025-02-02,Tokopedia,P010,Maru Sport Flats,Olahraga,1,269000,235954,33046,13903,Dikirim,Tidak Ada,0
LAZ2006282777,2025-02-02,Lazada,P005,Maru Boots Petualangan,Outdoor,1,499000,417469,81531,12887,Dikirim,Tidak Ada,0
ORD5459113069037846,2025-02-02,Shopee,P010,Maru Sport Flats,Olahraga,4,269000,989503,86497,19057,Dikirim,Tidak Ada,0
LAZ9927705666,2025-02-02,Lazada,P003,Maru Heels Profesional,Formal,1,389000,296171,92829,23154,Dikirim,Tidak Ada,0
ORD3956441206605698,2025-02-02,Shopee,P005,Maru Boots Petualangan,Outdoor,2,499000,958965,39035,25559,Dikirim,Tidak Ada,0
TOP834708300478,2025-02-02,Tokopedia,P003,Maru Heels Profesional,Formal,3,389000,1093033,73967,27641,Dikirim,Tidak Ada,0
ORD3498547006381524,2025-02-02,Shopee,P009,Maru Sneakers Olahraga,Olahraga,4,399000,1575116,20884,23176,Dikirim,Tidak Ada,0
ORD6510876004416025,2025-02-02,Shopee,P001,Maru Slip-On Kasual,Kasual,4,249000,976693,19307,26919,Dikirim,Tidak Ada,0
ORD1998726325953180,2025-02-02,Shopee,P001,Maru Slip-On Kasual,Kasual,3,249000,708008,38992,11627,Dikirim,Tidak Ada,0
TOP552559620714,2025-02-02,Tokopedia,P003,Maru Heels Profesional,Formal,5,389000,1910621,34379,21107,Dikirim,Tidak Ada,0
TOP779150439391,2025-02-02,Tokopedia,P003,Maru Heels Profesional,Formal,4,389000,1555077,923,23165,Dikirim,Tidak Ada,0
LAZ4310462855,2025-02-02,Lazada,P010,Maru Sport Flats,Olahraga,1,269000,209404,59596,29206,Dikirim,Tidak Ada,0
ORD7928006227307051,2025-02-02,Shopee,P008,Maru Glam Heels,Formal,2,479000,936297,21703,12520,Dikirim,Tidak Ada,0
ORD1331569287829608,2025-02-02,Shopee,P010,Maru Sport Flats,Olahraga,1,269000,216336,52664,23907,Dikirim,Tidak Ada,0
TOP025678696668,2025-02-02,Tokopedia,P008,Maru Glam Heels,Formal,2,479000,887163,70837,10563,Dikirim,Tidak Ada,0
ORD4462306348560280,2025-02-02,Shopee,P009,Maru Sneakers Olahraga,Olahraga,3,399000,1186513,10487,24888,Dikirim,Tidak Ada,0
TOP690727273792,2025-02-02,Tokopedia,P003,Maru Heels Profesional,Formal,4,389000,1495182,60818,27746,Dikirim,Tidak Ada,0
TOP974122143886,2025-02-02,Tokopedia,P001,Maru Slip-On Kasual,Kasual,2,249000,405105,92895,29063,Dikirim,Tidak Ada,0
ORD7091930235466872,2025-02-02,Shopee,P005,Maru Boots Petualangan,Outdoor,4,499000,1949719,46281,15363,Dikirim,Tidak Ada,0
ORD0724799021257635,2025-02-02,Shopee,P006,Maru Sneakers Hike,Outdoor,1,359000,349925,9075,23007,Dikirim,Tidak Ada,0
ORD7135974971548373,2025-02-02,Shopee,P006,Maru Sneakers Hike,Outdoor,4,359000,1374035,61965,21957,Dikirim,Tidak Ada,0
BLI9527638627,2025-02-02,Blibli,P001,Maru Slip-On Kasual,Kasual,1,249000,193726,55274,14512,Dikirim,Tidak Ada,0
LAZ2135161867,2025-02-02,Lazada,P007,Maru Sandal Malam,Formal,3,319000,906105,50895,20262,Dikirim,Tidak Ada,0
ORD6668728740598157,2025-02-02,Shopee,P004,Maru Flat Formal,Formal,4,199000,704706,91294,29116,Dikirim,Tidak Ada,0
TOP534396179998,2025-02-02,Tokopedia,P009,Maru Sneakers Olahraga,Olahraga,1,399000,348622,50378,26102,Dikirim,Tidak Ada,0
TOP927042669840,2025-02-02,Tokopedia,P006,Maru Sneakers Hike,Outdoor,5,359000,1749910,45090,25924,Dikirim,Tidak Ada,0
BLI5011931555,2025-02-02,Blibli,P005,Maru Boots Petualangan,Outdoor,2,499000,905779,92221,10360,Dikirim,Tidak Ada,0
ORD2977189660096154,2025-02-02,Shopee,P008,Maru Glam Heels,Formal,3,479000,1418076,18924,11898,Dikirim,Tidak Ada,0
ORD3141474929299361,2025-02-02,Shopee,P004,Maru Flat Formal,Formal,4,199000,763210,32790,28649,Dikirim,Tidak Ada,0
ORD5955980357172983,2025-02-02,Shopee,P007,Maru Sandal Malam,Formal,4,319000,1242791,33209,27723,Dikirim,Tidak Ada,0
LAZ3754044657,2025-02-02,Lazada,P008,Maru Glam Heels,Formal,5,479000,2301011,93989,20683,Dikirim,Tidak Ada,0
